name	products
ผงมะนาว แม๊กกี้	PRD201 (id:373) [สโตร์สันกำแพง] ; PRD246 (id:424) [สโตร์คันคลอง]
พริกเผา	PRD202 (id:374) [สโตร์สันกำแพง] ; PRD247 (id:425) [สโตร์คันคลอง]
มายองเนส	STORE_KK_036 (id:261) [สโตร์คันคลอง] ; PRD203 (id:375) [สโตร์สันกำแพง]
วุ้นเส้น ต้นสน	PRD204 (id:376) [สโตร์สันกำแพง] ; PRD248 (id:426) [สโตร์คันคลอง]
สก๊อตไบร์ท+ฟองน้ำ	PRD414 (id:635) [สโตร์สันกำแพง] ; PRD463 (id:684) [สโตร์คันคลอง]
หนังยางเล็ก	PRD205 (id:377) [สโตร์สันกำแพง] ; PRD249 (id:427) [สโตร์คันคลอง]
หอมหัวใหญ่	PRD095 (id:317) [ตลาดสด] ; PRD396 (id:617) [ผลิตคันคลอง]
เกล็ดขนมปัง	STORE_KK_046 (id:271) [สโตร์คันคลอง] ; PRD206 (id:378) [สโตร์สันกำแพง]
เกลือป่น	PRD207 (id:379) [สโตร์สันกำแพง] ; PRD251 (id:429) [สโตร์คันคลอง]
เทียนถาด เซพแพ็ค	PRD208 (id:380) [สโตร์สันกำแพง] ; PRD252 (id:430) [สโตร์คันคลอง]
เวเฟอร์สติ๊กสอดไส้	PRD459 (id:680) [สโตร์คันคลอง] ; PRD460 (id:681) [สโตร์คันคลอง]
เส้นหมี่นู้ดดี่	PRD209 (id:381) [สโตร์สันกำแพง] ; PRD253 (id:431) [สโตร์คันคลอง]
เห็ดหลินดำ	PRD098 (id:320) [ผลิตคันคลอง] ; PRD263 (id:462) [ตลาดสด]
เห็ดหูหนู	PRD094 (id:316) [ผลิตคันคลอง] ; PRD264 (id:463) [ตลาดสด]
เห็ดออรินจิ	PRD097 (id:319) [ผลิตคันคลอง] ; PRD262 (id:461) [ตลาดสด]
แป้งกรอบ	PRD210 (id:382) [สโตร์สันกำแพง] ; PRD254 (id:432) [สโตร์คันคลอง]
แป้งมัน ตรามังกร	PRD211 (id:383) [สโตร์สันกำแพง] ; PRD255 (id:433) [สโตร์คันคลอง]
แป้งว่าว	STORE_KK_021 (id:246) [สโตร์คันคลอง] ; PRD212 (id:384) [สโตร์สันกำแพง]
แอปเปิ้ลเขียว	PRD088 (id:310) [ผลิตคันคลอง] ; PRD402 (id:623) [ตลาดสด]
แอปเปิ้ลแดง	PRD087 (id:309) [ผลิตคันคลอง] ; PRD403 (id:624) [ตลาดสด]
แอลกอฮอล์แข็ง เพาเวอร์	STORE_KK_068 (id:293) [สโตร์คันคลอง] ; PRD213 (id:385) [สโตร์สันกำแพง]
ไข่ไก่	PRD076 (id:298) [ผลิตคันคลอง] ; PRD272 (id:471) [ซัพอื่นๆ]
